indicator	description
postmaster@return--path.com	bad-mailfrom
Ingrid Peters <ipeters@lbl.gov>	bad-sender
Andrew Danis <andrew.danis@outlook.com>	bad-sender 
ipeters@lbl.gov	bad-sender-email
Ingrid Peters	bad-sender-name
FY17 Performance Review Problem	bad-subject 
http://church.solutions/jsss/login.bancochile/bancochile-web/persona/login/error.htm 	bad_url
http://church.solutions/jsss/login.bancochile/bancochile-web/persona/confirm/I/ 	bad_url
http://church.solutions/jsss/login.bancochile/bancochile-web/persona/confirm/II/ 	bad_url
http://vvsqlxqbum.generalqyq.com/apply.php 	bad_url
http://lhgouvnfbg.generalqyq.com/apply.php 	bad_url
http://www.fb-support-us.com/app-secoure.htm 	bad_url
http://www.fb-support-us.com/update_scure.htm 	bad_url
http://217.61.22.103/securpass-BP/497f8ce2a107450b38ecf99860bcd652NWJiNjUyOGQyZGI5MTVjZTA2Zjg0MzczYTU4ZDFkNWI= 	bad_url
http://217.61.22.103/securpass-BP/497f8ce2a107450b38ecf99860bcd652NWJiNjUyOGQyZGI5MTVjZTA2Zjg0MzczYTU4ZDFkNWI=/full.php 	bad_url
https://rickbuyshomesfast.com/assets/scanned/Doc/securedPdf/iii.html 	bad_url
http://bostonianweddings.com/real/pass.php 	bad_url
http://johnjmmolloy.5gbfree.com/uedw/Indexxatt.htm 	bad_url
http://luceatcounseling.com/secureddocument/onedrive_file/xb/LL1.htm 	bad_url
http://www.eencouragement.ca/a48418a15e8113d7c0fd82872ea35509?login=&.verify?service=mail&data:text/html;charset=utf-8;base64,PGh0bWw+DQo8c3R5bGU+IGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt 	bad_url
http://www.eencouragement.ca/a1a86b1929b9b36c61064621c987a0be/?login=&.verify?service=mail&data:text/html;charset=utf-8;base64,PGh0bWw+DQo8c3R5bGU+IGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt 	bad_url
http://educate.nut.cc/sew/Indexxatt.htm 	bad_url
http://hdgdhd37.beget.tech/agsms/1f48b/ 	bad_url
http://hdgdhd37.beget.tech/agsms/1f48b/index2.html 	bad_url
http://hdgdhd37.beget.tech/agsms/c35f7/ 	bad_url
http://hdgdhd37.beget.tech/agsms/c35f7/index2.html 	bad_url
http://hdgdhd37.beget.tech/agsms/e4550/ 	bad_url
http://hdgdhd37.beget.tech/agsms/e4550/index2.html 	bad_url
http://biancamodaintima.com.br/secure.ingdirect.fr/lngdirect/62e83 	bad_url
http://biancamodaintima.com.br/secure.ingdirect.fr/lngdirect/62e83/index2.html 	bad_url
http://biancamodaintima.com.br/secure.ingdirect.fr/lngdirect/62e83/index3.html 	bad_url
http://www.cherilovell.com/-/billinfo/v3/bankofamerica-confirm-your-email.php 	bad_url
http://www.eencouragement.ca/c37710779ee5b9ed9ead467a4bcef25a/?login=&.verify?service=mail&data:text/html 	bad_url
http://www.neuflceonline.com/FMfcgxvwzvFlWPVqcRh/FtwppqXBGRPTj/70a5cb5eafc2c874e5e3ddaceb81a7e1/payprofile.php 	bad_url
